dataset,job_title,role_normalized,seniority,salary_usd,country,country_name,year_x,source,country_eurostat,year_int,country_code,year_y,gdp_per_capita_usd,ppp_rate,salary_ppp_usd
LinkedIn,data engineer,Data Engineer,,135000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior director, reporting & business analytics",Data General,Director,184350.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data scientist 3 - nonproliferation,Data Scientist,Senior,177000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior etl data engineer (100% remote),Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,marketing analytics - data scientist senior associate,Data Scientist,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst (korean),Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst (chinese),Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst (japanese),Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data architect,Data Architect,,162000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data engineer (property reinsurance/ speciality reinsurance) - 100% remote,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,machine learning researcher,ML Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior etl data engineer - reinsurance - remote,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data architect,Data Architect,,,US,United States,2024,,US,2024,,,,,
LinkedIn,principal data scientist,Data Scientist,Principal,208000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"data engineer i, revenue reporting service",Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"sr. manager, business intelligence , community operations",BI Analyst,Manager,200950.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"data scientist, peopleinsight",Data Scientist,,162200.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. data scientist - iot and manufacturing,Data Scientist,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-va,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data scientist - forecasting,Data Scientist,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-wa,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-il,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,mle/ai engineer summer intern,AI Engineer,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-ca,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-tx,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer (internship),Data Engineer,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-ny,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst/data science/nlp (intern apr 30) din01,Data Scientist,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence developer,BI Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst - power bi & sql,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,junior data scientist/software programmer,Data Scientist,Junior,99500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst ii,Data Analyst,Mid,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,junior data scientist/java programmer,Data Scientist,Junior,102500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,junior data scientist/ java programmer,Data Scientist,Junior,,US,United States,2024,,US,2024,,,,,
LinkedIn,"retail data analyst | hybrid - aurora, il",Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,junior data scientist/software developer,Data Scientist,Junior,99500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,junior java programmer/data scientist,Data Scientist,Junior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analytics engineer,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,junior data scientist/ data engineer,Data Scientist,Junior,99500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"lead analytic consultant, analytics",Data General,Lead,152500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior machine learning engineer, generative ai",ML Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior data engineer - itp-a, exempt",Data Engineer,Senior,134919.2,US,United States,2024,,US,2024,,,,,
LinkedIn,"director, data engineering",Data Engineer,Director,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,clinical adoption data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,technical system health data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,edw architect i - is edw and analytics - full time 8 hour days (exempt) (non-union),Data General,,126955.0,US,United States,2024,,US,2024,,,,,
LinkedIn,ai/ml engineer (contract) (hybrid) – 4313,ML Engineer,,166400.0,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. analyst-telecom analytics,Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,"vendor manager, machine learning data operations, gtech",ML Engineer,Manager,122000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"director, fraud analytics",Data General,Director,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,aws data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,java-big data architect,Data Architect,,80.0,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence analyst ii,BI Analyst,Mid,97250.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"sr. analyst, digital analytics, lac",Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior business intelligence analyst,BI Analyst,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,117500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"manager, data & analytics",Data General,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,risk management - fraud risk strategic analytics - associate,Data General,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst with marketing analytics exp. (1039812),Data Analyst,,110240.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,55000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior machine learning engineer,ML Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior machine learning engineer,ML Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,gcp data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data engineer,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr assortment analytics analyst,Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineering manager,Data Engineer,Manager,200000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,analytics summer intern,Data General,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-ca,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-il,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-va,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-ny,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data engineer - python,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-tx,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior digital analytics specialist (technical),Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior etl data engineer,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-wa,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,lead ai engineer,AI Engineer,Lead,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data engineer,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,machine learning engineer,ML Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,78000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior data engineer (azure, python, sql)",Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,big data engineer with aws (only w2 candidates),Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,income and withholding tax data analyst,Data Analyst,,68328.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"manager, data and analytics - supply chain",Supply Chain Analyst,Manager,112500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior business intelligence analyst,BI Analyst,Senior,137500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior manager analytics,Data General,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,principal ai engineer (virtual),AI Engineer,Principal,,US,United States,2024,,US,2024,,,,,
LinkedIn,"architect, machine learning, field cto",ML Engineer,,150600.0,US,United States,2024,,US,2024,,,,,
LinkedIn,sales data analyst/consultant,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,director of business intelligence,BI Analyst,Director,,US,United States,2024,,US,2024,,,,,
LinkedIn,"sr. associate, revenue cycle analytics",Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,business data analyst – foreign exchange,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior data engineer (java, spring boot, aws)",Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist or senior,Data Scientist,Senior,91650.0,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. data engineer,Data Engineer,Senior,125000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,analyst - advanced analytics,Data General,,,US,United States,2024,,US,2024,,,,,
LinkedIn,principal data architect,Data Architect,Principal,,US,United States,2024,,US,2024,,,,,
LinkedIn,principal ai/ml data scientist,Data Scientist,Principal,247750.0,US,United States,2024,,US,2024,,,,,
LinkedIn,machine learning engineer,ML Engineer,,167500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,machine learning engineer,ML Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineering analyst,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"it project manager, enterprise analytics (87454br)",Data General,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data engineer,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer ii - nbc sports next,Data Engineer,Mid,,US,United States,2024,,US,2024,,,,,
LinkedIn,development data manager,Data Manager,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior business intelligence analyst,BI Analyst,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,"ml engineer l5, llm application frameworks, machine learning platform",ML Engineer,,410000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data science/data engineering intern,Data Scientist,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,junior data scientist - python /modeling,Data Scientist,Junior,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior staff data scientist (remote),Data Scientist,Staff,167500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,sc resilience business & analytics lead,Data General,Lead,,US,United States,2024,,US,2024,,,,,
LinkedIn,office/administration - data analyst lv3 #: 24-02340,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,domo data analyst (remote),Data Analyst,,100000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,89440.0,US,United States,2024,,US,2024,,,,,
LinkedIn,assistant teaching professor in business information & analytics,Data General,,70000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,planning analytics manager,Data Analyst,Manager,128564.8,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior analyst it business analytics retail marketing,Marketing Analyst,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,director of business intelligence,BI Analyst,Director,,US,United States,2024,,US,2024,,,,,
LinkedIn,director of business intelligence,BI Analyst,Director,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior ai engineer,AI Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,volunteer: data architect,Data Architect,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"manager, geospatial data analytics program development - albuquerque (onsite)",Data Analyst,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,volunteer: data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,volunteer: data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist - clearance required with security clearance,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,governance and analytics sr. analyst,Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,trader - data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"analyst/sr analyst, contact center - analytics",Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,intern analytics summer 2024 | virtual,Data General,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,"manager, merchandise analytics",Data General,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior lead independent testing officer - customer remediation analytics & data testing,Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior lead independent testing officer - customer remediation analytics & data testing,Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior analyst, supply chain analytics",Supply Chain Analyst,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior lead independent testing officer - customer remediation analytics & data testing,Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior lead independent testing officer - customer remediation analytics & data testing,Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr analyst hr systems & analytics,Data General,Senior,90000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"managing director, financial analytics",Financial Analyst,Director,170000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"software engineer, machine learning",ML Engineer,,184000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"software engineer, machine learning",ML Engineer,,184000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,manager people data & analytics,Data General,Manager,150000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,program director value-based care analytics,Data General,Director,153088.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analytics lead,Data Analyst,Lead,101960.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior machine learning engineer,ML Engineer,Senior,140000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,business analysis manager | incentives modeling & analytics,Data General,Manager,119100.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"director, decision science analytics – personal lines product intelligence",Data Scientist,Director,,US,United States,2024,,US,2024,,,,,
LinkedIn,"director, decision science analytics – personal lines product intelligence",Data Scientist,Director,222545.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst 3,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data scientist,Data Scientist,Senior,220000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data scientist,Data Scientist,Senior,220000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"evercommerce - vice president, data & analytics, remote (us/can)",Data General,VP,255000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer ii,Data Engineer,Mid,100000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,transportation data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,150000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,sr data scientist,Data Scientist,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,machine learning engineer,ML Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"business intelligence engineer i, global logistics",BI Analyst,,115700.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"data engineering manager, defensive security",Data Engineer,Manager,200250.0,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence engineer,BI Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,is business intelligence developer,BI Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer - all levels,Data Engineer,,130764.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist - ts/sci hybrid,Data Scientist,,174000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,io data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,staff machine learning engineer,ML Engineer,Staff,162000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,business analytics associate,Data General,,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. applied ai engineer,AI Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. applied ai engineer,AI Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. applied ai engineer,AI Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior machine learning scientist,ML Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior associate, media analytics - remote",Data General,Senior,89200.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"data analyst, energy efficiency (hybrid)",Data Analyst,,91000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analytics engineer,Data Analyst,,116100.0,US,United States,2024,,US,2024,,,,,
LinkedIn,hr workday workday reporting & analytics architect (remote),Data General,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"manager, supply chain analytics and reporting",Supply Chain Analyst,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,ran performance & data analytics engineer,Data Analyst,,87500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,analytics specialist,Data General,,101920.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer - usds,Data Engineer,,138550.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"staff data scientist, ssp.",Data Scientist,Staff,204765.5,US,United States,2024,,US,2024,,,,,
LinkedIn,data architect,Data Architect,,140000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence specialist,BI Analyst,,95000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,principal data engineer,Data Engineer,Principal,245000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,141440.0,US,United States,2024,,US,2024,,,,,
LinkedIn,vice president of data engineering,Data Engineer,VP,500000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,machine learning engineer,ML Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"principal data engineer, analytics engineering",Data Engineer,Principal,215350.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"data analyst, contact center analytics (flex home/office)",Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist intern,Data Scientist,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,staff data scientist,Data Scientist,Staff,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data scientist,Data Scientist,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. analytics engineer,Data Analyst,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,remote data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"analyst, network strategy, pricing & analytics - remote",Data General,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst -aits (hybrid/remote),Data Analyst,,80000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst supporting the fbi with security clearance,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"data architect, senior with security clearance",Data Architect,Senior,138800.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data analyst/assessor level iii with security clearance,Data Analyst,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,gme business intelligence analyst ii wfh,BI Analyst,Mid,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst - remote,Data Analyst,,137800.0,US,United States,2024,,US,2024,,,,,
LinkedIn,cyber security specialist - data engineer l4 (remote),Data Engineer,,100000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,analytics specialist,Data General,,120000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior product designer and ux architect, data & analytics",Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,"hybrid - paid search analyst (up to $125k, google analytics cert.)",Data General,,,US,United States,2024,,US,2024,,,,,
LinkedIn,online data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"optical network documentation and data engineer, w",Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,online data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,business development director - health analytics,Data General,Director,150000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,online data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,online data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,online data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,online data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,online data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior business intelligence developer,BI Analyst,Senior,135000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,online data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,online data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,lead data engineer - databricks,Data Engineer,Lead,160000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior business intelligence developer,BI Analyst,Senior,135000.0,US,United States,2024,,US,2024,,,,,
